experiment,scaler,encoder,model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_MAE,test_RMSE,test_R2,test_MAPE_percent,xgboost_params
standard__ordinal__xgboost,standard,ordinal,xgboost,3600.510302734375,103.80490236073067,5374.275222465405,258.394723619546,0.8296251416206359,0.013222967782650285,3486.651611328125,5047.8369625018595,0.858430802822113,25.795462335580176,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 1.0, ""tree_method"": ""hist""}"
standard__onehot__xgboost,standard,onehot,xgboost,3645.517236328125,124.1626365759377,5392.24135912844,263.4621887570832,0.8285153627395629,0.013092601087983482,3590.5693359375,5233.799957965532,0.8478078246116638,26.387365528871687,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 1.0, ""tree_method"": ""hist""}"
standard__random_forest,standard,onehot,random_forest,3817.13199528041,119.4361751291619,5717.100533052018,256.96211843001873,0.8072808777760836,0.0129006499012105,3688.9906433973774,5467.529267154013,0.833911187231249,27.88163887047825,
robust__random_forest,robust,onehot,random_forest,3817.073653282236,119.67616931655937,5717.415699143397,257.12461263538887,0.8072593197506904,0.0129135713774821,3690.0127988484383,5473.107627411657,0.8335721032212055,27.90267347015417,
standard__ridge,standard,onehot,ridge,5052.025494898453,61.25390528863196,7113.2566613377685,162.42313712424115,0.7018056139559603,0.0059398495709459,5161.663025399662,7164.104219928645,0.7148443782028411,44.48813443725825,
robust__ridge,robust,onehot,ridge,5052.01194378221,61.22988856253418,7113.252404899582,162.41361441381414,0.7018059891914235,0.0059380049037426,5161.657012691077,7164.116991548931,0.714843361494413,44.48740143354448,
standard__dummy,standard,onehot,dummy,10311.702848678871,160.9484748329719,13405.26059262893,266.9990084568586,-0.0589828535373662,0.0060799880589105,10687.161595273265,13949.70164479261,-0.081155061643005,83.77974527575867,
robust__dummy,robust,onehot,dummy,10311.702848678871,160.9484748329719,13405.26059262893,266.9990084568586,-0.0589828535373662,0.0060799880589105,10687.161595273265,13949.70164479261,-0.081155061643005,83.77974527575867,
