experiment,scaler,encoder,model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_MAE,test_RMSE,test_R2,test_MAPE_percent,xgboost_params
standard__ordinal__xgboost,standard,ordinal,xgboost,3600.510302734375,103.80490236073067,5374.275222465405,258.394723619546,0.8296251416206359,0.013222967782650285,3486.651611328125,5047.8369625018595,0.858430802822113,25.795462335580176,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 1.0, ""tree_method"": ""hist""}"
standard__onehot__xgboost,standard,onehot,xgboost,3645.517236328125,124.1626365759377,5392.24135912844,263.4621887570832,0.8285153627395629,0.013092601087983482,3590.5693359375,5233.799957965532,0.8478078246116638,26.387365528871687,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.06, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_lambda"": 1.0, ""tree_method"": ""hist""}"
