feature,importance,absolute_value
cat__transmission_other,0.0014105579758175466,0.0014105579758175466
cat__size_Unknown,0.0013389599503085064,0.0013389599503085064
cat__manufacturer_jeep,0.0012167917294492623,0.0012167917294492623
cat__condition_like new,0.0012038846105394212,0.0012038846105394212
cat__manufacturer_hyundai,0.0011880908448849241,0.0011880908448849241
cat__model_Unknown,0.0011391347697011982,0.0011391347697011982
cat__state_ca,0.001130685656476348,0.001130685656476348
cat__manufacturer_bmw,0.0010968407909448458,0.0010968407909448458
cat__manufacturer_ram,0.0010718250224990829,0.0010718250224990829
cat__manufacturer_ford,0.0010500399342120326,0.0010500399342120326
cat__cylinders_10 cylinders,0.0010357716313111175,0.0010357716313111175
cat__title_status_clean,0.0009773486812979567,0.0009773486812979567
cat__fuel_hybrid,0.0009387779771317861,0.0009387779771317861
cat__size_full-size,0.0009177793938524567,0.0009177793938524567
cat__manufacturer_dodge,0.0008061074041459892,0.0008061074041459892
cat__region_Other,0.00077555457681038,0.00077555457681038
cat__manufacturer_lincoln,0.0006919963692122628,0.0006919963692122628
cat__manufacturer_cadillac,0.0006766754807306153,0.0006766754807306153
cat__manufacturer_gmc,0.0006524167807382278,0.0006524167807382278
cat__paint_color_silver,0.0006355195791204986,0.0006355195791204986
cat__region_south florida,0.0006235310453078814,0.0006235310453078814
cat__state_fl,0.0006071905885709434,0.0006071905885709434
cat__type_coupe,0.0005723272009335446,0.0005723272009335446
cat__transmission_manual,0.0005277973957218342,0.0005277973957218342
cat__title_status_Unknown,0.0005127625079160181,0.0005127625079160181
cat__state_az,0.0004943121773940156,0.0004943121773940156
cat__paint_color_red,0.0004728962506251285,0.0004728962506251285
cat__state_co,0.0004715762763704448,0.0004715762763704448
cat__model_wrangler,0.00041258002050746715,0.00041258002050746715
cat__manufacturer_kia,0.0004076465544128893,0.0004076465544128893
cat__region_bakersfield,0.0003794568036545407,0.0003794568036545407
cat__type_convertible,0.0003624064825340325,0.0003624064825340325
cat__type_van,0.00034966405937876045,0.00034966405937876045
cat__size_compact,0.00032606123092184273,0.00032606123092184273
cat__paint_color_grey,0.00032335778142606554,0.00032335778142606554
cat__paint_color_blue,0.00031867726681438494,0.00031867726681438494
cat__manufacturer_subaru,0.00031840000830855316,0.00031840000830855316
cat__region_fresno / madera,0.0003135740358870513,0.0003135740358870513
cat__manufacturer_jaguar,0.0002962117862180295,0.0002962117862180295
cat__manufacturer_honda,0.0002922048183158515,0.0002922048183158515
cat__state_ga,0.0002646998539210168,0.0002646998539210168
cat__region_palm springs,0.00025208011889819295,0.00025208011889819295
cat__region_orange county,0.0002454006399159671,0.0002454006399159671
num__is_high_mileage,0.0002451607879110824,0.0002451607879110824
cat__region_atlanta,0.0002442692963325473,0.0002442692963325473
cat__size_mid-size,0.00023388988389403385,0.00023388988389403385
cat__region_jacksonville,0.00021041075203186017,0.00021041075203186017
cat__region_reno / tahoe,0.0001999457842653367,0.0001999457842653367
cat__title_status_salvage,0.00019988925248411987,0.00019988925248411987
cat__model_tacoma,0.00019525238319612477,0.00019525238319612477
cat__model_corvette,0.00019465946967183085,0.00019465946967183085
cat__region_sarasota-bradenton,0.00019449476827615005,0.00019449476827615005
cat__model_f-150,0.00019053002869429822,0.00019053002869429822
cat__region_orlando,0.00018138948961960046,0.00018138948961960046
cat__model_tundra,0.00018071453243848418,0.00018071453243848418
cat__type_wagon,0.00017987825013465015,0.00017987825013465015
cat__manufacturer_rover,0.0001793860556852993,0.0001793860556852993
cat__manufacturer_chrysler,0.00017273502456815237,0.00017273502456815237
cat__region_pueblo,0.0001666043728932869,0.0001666043728932869
cat__region_redding,0.00016093614706552263,0.00016093614706552263
cat__region_denver,0.0001532666950923094,0.0001532666950923094
cat__manufacturer_volvo,0.00015185539499459205,0.00015185539499459205
cat__transmission_Unknown,0.00015113403169159909,0.00015113403169159909
cat__region_western slope,0.0001470879602691378,0.0001470879602691378
cat__region_fort collins / north CO,0.00014684294780222687,0.00014684294780222687
cat__manufacturer_volkswagen,0.0001332384660668749,0.0001332384660668749
cat__manufacturer_infiniti,0.0001311325549703835,0.0001311325549703835
cat__region_ft myers / SW florida,0.00012913683020811294,0.00012913683020811294
cat__region_los angeles,0.00012804620765533364,0.00012804620765533364
cat__region_tucson,0.00012217891320546055,0.00012217891320546055
cat__manufacturer_acura,0.00012115850364367935,0.00012115850364367935
cat__region_anchorage / mat-su,0.00010912080243049298,0.00010912080243049298
cat__title_status_rebuilt,0.00010678426287419641,0.00010678426287419641
cat__region_colorado springs,0.00010542744425786295,0.00010542744425786295
cat__model_silverado,0.0001036269522103611,0.0001036269522103611
cat__region_sacramento,0.000102086421372209,0.000102086421372209
cat__model_1500,0.0001009345583274526,0.0001009345583274526
cat__region_ventura county,9.405993819284933e-05,9.405993819284933e-05
cat__paint_color_custom,9.354340556784368e-05,9.354340556784368e-05
cat__region_tampa bay area,8.647650454219023e-05,8.647650454219023e-05
cat__region_ocala,8.317749757302508e-05,8.317749757302508e-05
cat__condition_fair,8.162265371062042e-05,8.162265371062042e-05
cat__fuel_electric,7.859240454281236e-05,7.859240454281236e-05
"cat__region_washington, DC",7.696677614130912e-05,7.696677614130912e-05
cat__region_SF bay area,7.441240113395288e-05,7.441240113395288e-05
cat__paint_color_brown,7.373095694185067e-05,7.373095694185067e-05
cat__region_chico,7.31256979150932e-05,7.31256979150932e-05
cat__region_lakeland,7.184394344722321e-05,7.184394344722321e-05
cat__state_ak,7.129402649375469e-05,7.129402649375469e-05
cat__region_modesto,7.104744124381746e-05,7.104744124381746e-05
cat__state_ar,6.815747753343939e-05,6.815747753343939e-05
cat__region_san diego,6.726733588946229e-05,6.726733588946229e-05
cat__region_phoenix,6.638776588058412e-05,6.638776588058412e-05
cat__manufacturer_buick,6.6286292757824e-05,6.6286292757824e-05
cat__paint_color_green,6.336775240652603e-05,6.336775240652603e-05
cat__region_inland empire,6.161764774578627e-05,6.161764774578627e-05
cat__region_stockton,5.2485388877950915e-05,5.2485388877950915e-05
cat__region_san luis obispo,5.239001834569432e-05,5.239001834569432e-05
cat__state_ct,5.100836931889012e-05,5.100836931889012e-05
cat__model_grand caravan,5.0818125077080576e-05,5.0818125077080576e-05
cat__region_flagstaff / sedona,4.853549779441098e-05,4.853549779441098e-05
cat__model_silverado 1500,4.844222072387155e-05,4.844222072387155e-05
cat__manufacturer_fiat,4.66606688668054e-05,4.66606688668054e-05
cat__region_little rock,4.636981821895331e-05,4.636981821895331e-05
cat__state_dc,4.343071254774656e-05,4.343071254774656e-05
cat__type_mini-van,4.2909026250798354e-05,4.2909026250798354e-05
cat__size_sub-compact,4.124285892916793e-05,4.124285892916793e-05
cat__region_prescott,4.09304208298695e-05,4.09304208298695e-05
cat__region_monterey bay,4.0262722230131517e-05,4.0262722230131517e-05
cat__model_impala,3.9463634394043494e-05,3.9463634394043494e-05
cat__region_new haven,3.8200391070275535e-05,3.8200391070275535e-05
cat__cylinders_other,3.698316400653085e-05,3.698316400653085e-05
