experiment,scaler,model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_MAE,test_RMSE,test_R2,test_MAPE_percent
standard__random_forest,standard,random_forest,3817.13199528041,119.4361751291619,5717.100533052018,256.96211843001873,0.8072808777760836,0.012900649901210504,3688.9906433973774,5467.529267154013,0.833911187231249,27.88163887047825
robust__random_forest,robust,random_forest,3817.073653282236,119.67616931655937,5717.415699143397,257.12461263538887,0.8072593197506904,0.012913571377482162,3690.0127988484383,5473.107627411657,0.8335721032212055,27.90267347015417
robust__ridge,robust,ridge,5052.01194378221,61.22988856253418,7113.252404899582,162.41361441381414,0.7018059891914235,0.005938004903742669,5161.657012691077,7164.116991548931,0.714843361494413,44.48740143354448
standard__ridge,standard,ridge,5052.025494898453,61.25390528863196,7113.2566613377685,162.42313712424115,0.7018056139559603,0.005939849570945994,5161.663025399662,7164.104219928645,0.7148443782028411,44.48813443725825
robust__dummy,robust,dummy,10311.702848678873,160.9484748329719,13405.26059262893,266.9990084568586,-0.05898285353736625,0.006079988058910507,10687.161595273265,13949.70164479261,-0.08115506164300501,83.77974527575867
standard__dummy,standard,dummy,10311.702848678873,160.9484748329719,13405.26059262893,266.9990084568586,-0.05898285353736625,0.006079988058910507,10687.161595273265,13949.70164479261,-0.08115506164300501,83.77974527575867
