region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
colorado springs,19590,2019.0,kia,Other,good,Unknown,gas,42727.0,clean,other,fwd,Unknown,wagon,white,co,38.82108,-104.82311,3854,2021.0,4.0,2.0,21363.5,0,0.0204
south florida,13900,2012.0,toyota,Other,Unknown,8 cylinders,gas,109000.0,clean,automatic,rwd,Unknown,pickup,silver,fl,26.0697,-80.2246,2858,2021.0,4.0,9.0,12111.111111111111,0,0.09435
ft myers / SW florida,21320,2018.0,toyota,camry,Unknown,4 cylinders,gas,29201.0,clean,automatic,fwd,mid-size,sedan,custom,fl,26.571661,-81.877633,9480,2021.0,4.0,3.0,9733.666666666666,0,0.09435
anchorage / mat-su,29995,2013.0,ford,f-150,Unknown,Unknown,gas,135329.0,clean,automatic,4wd,Unknown,pickup,red,ak,61.16167,-149.86312,1723,2021.0,5.0,8.0,16916.125,0,0.1533
hartford,9500,2014.0,audi,Other,like new,4 cylinders,gas,63000.0,clean,automatic,4wd,mid-size,sedan,grey,ct,41.576,-72.509,37,2021.0,4.0,7.0,9000.0,0,0.01865
denver,35960,2018.0,ram,Other,Unknown,8 cylinders,gas,100016.0,clean,automatic,4wd,full-size,pickup,white,co,39.555745,-104.895711,12158,2021.0,5.0,3.0,33338.666666666664,0,0.0382
Other,18990,2017.0,mitsubishi,Other,good,Unknown,other,23117.0,clean,other,4wd,Unknown,SUV,white,ct,41.81,-72.9,4086,2021.0,4.0,4.0,5779.25,0,0.00675
santa barbara,39590,2018.0,audi,Other,good,6 cylinders,gas,29792.0,clean,automatic,Unknown,Unknown,SUV,silver,ca,33.7865,-84.4454,4297,2021.0,4.0,3.0,9930.666666666666,0,0.01865
"washington, DC",14990,2013.0,volkswagen,Other,good,Unknown,other,95114.0,clean,other,Unknown,Unknown,sedan,white,dc,38.89,-77.03,4304,2021.0,4.0,8.0,11889.25,0,0.02345
palm springs,6500,2011.0,mazda,Other,excellent,4 cylinders,gas,109000.0,clean,automatic,Unknown,Unknown,sedan,Unknown,ca,33.745144,-116.351803,5556,2021.0,4.0,10.0,10900.0,0,0.0144
atlanta,20000,2002.0,gmc,Other,good,8 cylinders,diesel,43000.0,salvage,automatic,fwd,full-size,other,white,ga,34.1281,-84.5717,293,2021.0,5.0,19.0,2263.157894736842,0,0.0319
orange county,4200,2001.0,volkswagen,Other,Unknown,Unknown,gas,110182.0,clean,automatic,Unknown,Unknown,sedan,red,ca,33.811283,-117.9021,3068,2021.0,4.0,20.0,5509.1,0,0.02345
Other,3200,2007.0,chevrolet,Other,good,6 cylinders,gas,258000.0,clean,automatic,rwd,full-size,pickup,white,ca,41.3596,-124.0317,100,2021.0,4.0,14.0,18428.571428571428,1,0.11195
ventura county,21590,2017.0,buick,Other,good,Unknown,gas,14934.0,clean,other,fwd,Unknown,sedan,white,ca,33.779214,-84.411811,4506,2021.0,4.0,4.0,3733.5,0,0.00855
redding,14588,2016.0,honda,civic,excellent,Unknown,gas,45185.0,clean,automatic,fwd,Unknown,sedan,black,ca,38.608824,-121.400837,4045,2021.0,5.0,5.0,9037.0,0,0.0545
Other,29999,2003.0,ram,3500,Unknown,6 cylinders,diesel,149957.0,clean,manual,4wd,Unknown,truck,Unknown,co,40.182151,-105.102373,4420,2021.0,4.0,18.0,8330.944444444445,0,0.0382
Other,34750,2016.0,nissan,Other,excellent,8 cylinders,diesel,92000.0,lien,automatic,4wd,full-size,truck,silver,ak,64.7805,-147.3694,3682,2021.0,4.0,5.0,18400.0,0,0.04915
pueblo,31295,2017.0,jeep,Other,Unknown,6 cylinders,gas,56644.0,clean,manual,4wd,Unknown,SUV,white,co,38.279325,-104.607754,4840,2021.0,4.0,4.0,14161.0,0,0.03625
Other,16990,2014.0,acura,Other,good,Unknown,other,44473.0,clean,other,Unknown,Unknown,sedan,silver,al,32.35,-86.28,3973,2021.0,4.0,7.0,6353.285714285715,0,0.01315
tampa bay area,5700,2003.0,ford,Other,Unknown,6 cylinders,gas,77832.0,clean,automatic,rwd,mid-size,convertible,red,fl,27.917,-82.8027,1301,2021.0,5.0,18.0,4324.0,0,0.1533
Other,7299,2009.0,honda,Other,Unknown,4 cylinders,gas,103881.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ga,30.348,-81.5882,533,2021.0,4.0,12.0,8656.75,0,0.0545
lakeland,39111,2018.0,ford,f-350,Unknown,Unknown,other,68305.0,clean,automatic,4wd,Unknown,other,Unknown,fl,28.00853,-82.45974,2381,2021.0,4.0,3.0,22768.333333333332,0,0.1533
fresno / madera,11000,2001.0,ford,Other,excellent,Unknown,gas,69000.0,clean,manual,Unknown,Unknown,Unknown,Unknown,ca,36.7918,-119.8801,325,2021.0,4.0,20.0,3450.0,0,0.1533
fort collins / north CO,3700,1995.0,ford,Other,good,Unknown,gas,233000.0,clean,automatic,rwd,full-size,truck,white,co,40.478853,-105.173998,662,2021.0,4.0,26.0,8961.538461538461,1,0.1533
SF bay area,6000,2006.0,buick,Other,Unknown,Unknown,gas,77000.0,clean,automatic,Unknown,Unknown,sedan,Unknown,ca,37.0178,-121.572,377,2021.0,5.0,15.0,5133.333333333333,0,0.00855
tampa bay area,9470,2011.0,honda,cr-v,Unknown,4 cylinders,gas,107829.0,clean,automatic,fwd,mid-size,SUV,blue,fl,27.934474,-82.740109,8314,2021.0,4.0,10.0,10782.9,0,0.0545
atlanta,32590,2018.0,gmc,Other,good,8 cylinders,gas,32620.0,clean,other,Unknown,Unknown,pickup,black,ga,33.75,-84.39,4350,2021.0,5.0,3.0,10873.333333333334,0,0.0319
SF bay area,19990,2017.0,ford,Other,good,Unknown,other,8549.0,clean,other,fwd,Unknown,sedan,Unknown,ca,37.45,-122.1,4029,2021.0,5.0,4.0,2137.25,0,0.1533
Other,25990,2009.0,ford,Other,excellent,10 cylinders,gas,166755.0,clean,automatic,rwd,Unknown,truck,Unknown,fl,27.2866,-82.477,9409,2021.0,4.0,12.0,13896.25,1,0.1533
san luis obispo,4995,2008.0,toyota,camry,excellent,Unknown,gas,206189.0,clean,automatic,fwd,Unknown,Unknown,red,ca,35.122159,-120.626169,1252,2021.0,4.0,13.0,15860.692307692309,1,0.09435
orlando,17999,2013.0,ram,1500,good,8 cylinders,gas,162092.0,clean,automatic,rwd,Unknown,pickup,grey,fl,,,2135,2021.0,4.0,8.0,20261.5,1,0.0382
orlando,14995,2005.0,gmc,Other,Unknown,8 cylinders,gas,172404.0,Unknown,automatic,rwd,Unknown,Unknown,Unknown,fl,29.620824,-82.386324,2485,2021.0,4.0,16.0,10775.25,1,0.0319
orange county,25990,2017.0,ford,Other,good,Unknown,gas,12567.0,clean,other,fwd,Unknown,hatchback,white,ca,33.74,-117.82,4163,2021.0,5.0,4.0,3141.75,0,0.1533
yuba-sutter,4499,2002.0,ford,Other,excellent,4 cylinders,gas,179661.0,salvage,manual,Unknown,Unknown,coupe,Unknown,ca,39.123441,-121.61144,2545,2021.0,4.0,19.0,9455.842105263158,1,0.1533
orlando,3800,2005.0,chevrolet,Other,fair,8 cylinders,gas,238000.0,clean,automatic,rwd,full-size,van,white,fl,27.3215,-80.403,364,2021.0,4.0,16.0,14875.0,1,0.11195
san diego,8800,1986.0,nissan,Other,good,6 cylinders,gas,82300.0,clean,automatic,rwd,compact,coupe,brown,ca,32.6806,-117.0474,682,2021.0,4.0,35.0,2351.4285714285716,0,0.04915
sacramento,3500,1980.0,Unknown,corvette,fair,8 cylinders,gas,50000.0,Other,automatic,rwd,compact,coupe,Unknown,ca,38.2671,-122.0357,163,2021.0,5.0,41.0,1219.5121951219512,0,0.04385
inland empire,19900,2005.0,chevrolet,Other,excellent,8 cylinders,diesel,142000.0,clean,automatic,rwd,full-size,truck,white,ca,34.4802,-117.4082,520,2021.0,4.0,16.0,8875.0,0,0.11195
south florida,31900,2016.0,Unknown,Other,excellent,Unknown,diesel,125878.0,clean,automatic,Unknown,Unknown,Unknown,white,fl,26.2288,-80.1635,645,2021.0,4.0,5.0,25175.6,0,0.04385
colorado springs,60000,2019.0,jeep,Other,like new,4 cylinders,gas,14445.0,clean,automatic,4wd,mid-size,offroad,grey,co,38.905,-104.6982,218,2021.0,4.0,2.0,7222.5,0,0.03625
Other,13900,2019.0,kia,soul,excellent,4 cylinders,gas,31286.0,clean,automatic,fwd,compact,SUV,silver,fl,30.441402,-86.595601,456,2021.0,4.0,2.0,15643.0,0,0.0204
"washington, DC",16500,2019.0,toyota,corolla,Unknown,Unknown,gas,26669.0,clean,automatic,fwd,Unknown,sedan,silver,dc,38.91706,-77.46954,4921,2021.0,4.0,2.0,13334.5,0,0.09435
hawaii,17988,2016.0,kia,Other,Unknown,Unknown,gas,38058.0,clean,automatic,fwd,Unknown,Unknown,white,hi,21.377105,-158.023701,14617,2021.0,5.0,5.0,7611.6,0,0.0204
ft myers / SW florida,31990,2017.0,bmw,Other,good,Unknown,gas,19366.0,clean,automatic,rwd,Unknown,sedan,red,fl,26.63,-81.85,5563,2021.0,5.0,4.0,4841.5,0,0.0387
flagstaff / sedona,32995,2019.0,chevrolet,Other,good,6 cylinders,gas,4040.0,clean,automatic,Unknown,Unknown,pickup,white,az,35.189958,-111.666438,2594,2021.0,4.0,2.0,2020.0,0,0.11195
ventura county,32990,2011.0,mercedes-benz,Other,good,8 cylinders,gas,82763.0,clean,automatic,rwd,Unknown,sedan,Unknown,ca,33.779214,-84.411811,4979,2021.0,4.0,10.0,8276.3,0,0.03715
orlando,13990,2012.0,jaguar,Other,excellent,Unknown,gas,95000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,26.2674,-80.2092,2351,2021.0,5.0,9.0,10555.555555555555,0,0.00495
ventura county,10300,2013.0,bmw,Other,excellent,4 cylinders,gas,139000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,34.4296,-119.8612,215,2021.0,5.0,8.0,17375.0,0,0.0387
Other,33990,2016.0,chevrolet,silverado 1500,Unknown,8 cylinders,Unknown,117895.0,clean,automatic,4wd,Unknown,pickup,white,al,33.669601,-86.817617,4972,2021.0,4.0,5.0,23579.0,0,0.11195
Other,30997,2011.0,jeep,wrangler,Unknown,Unknown,gas,107497.0,clean,automatic,4wd,Unknown,SUV,white,ca,38.605011,-121.401917,1320,2021.0,5.0,10.0,10749.7,0,0.03625
daytona beach,17995,2011.0,Unknown,Other,excellent,other,other,0.0,clean,other,Unknown,Unknown,Unknown,white,fl,29.4562,-81.3244,256,2021.0,4.0,10.0,0.0,0,0.04385
SF bay area,4300,1986.0,chevrolet,Other,good,6 cylinders,gas,57503.0,clean,automatic,fwd,mid-size,pickup,brown,ca,37.3492,-121.953,118,2021.0,5.0,35.0,1642.942857142857,0,0.11195
san luis obispo,6995,2002.0,honda,cr-v,excellent,Unknown,gas,153089.0,clean,automatic,fwd,Unknown,Unknown,white,ca,35.122159,-120.626169,1060,2021.0,4.0,19.0,8057.315789473684,1,0.0545
