region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
"washington, DC",18995,2015.0,volvo,Other,Unknown,Unknown,gas,78195.0,clean,automatic,Unknown,Unknown,other,silver,dc,38.75937,-77.454156,1898,2021.0,5.0,6.0,13032.5,0,0.00935
stockton,14288,2014.0,honda,Other,good,4 cylinders,gas,142392.0,clean,automatic,fwd,Unknown,sedan,Unknown,ca,38.610767,-121.422557,3523,2021.0,5.0,7.0,20341.714285714286,0,0.0545
san diego,5300,2009.0,honda,civic,Unknown,Unknown,gas,118002.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,32.7139,-117.1219,181,2021.0,5.0,12.0,9833.5,0,0.0545
yuba-sutter,3999,2000.0,toyota,Other,excellent,4 cylinders,gas,158067.0,clean,automatic,Unknown,Unknown,sedan,Unknown,ca,39.123441,-121.61144,2819,2021.0,4.0,21.0,7527.0,1,0.09435
denver,37420,2015.0,toyota,Other,excellent,8 cylinders,gas,124421.0,lien,automatic,4wd,full-size,truck,white,co,39.1951,-106.8236,807,2021.0,5.0,6.0,20736.833333333332,0,0.09435
palm springs,17500,2005.0,ford,Other,excellent,8 cylinders,diesel,136801.0,clean,automatic,rwd,full-size,wagon,green,ca,33.7532,-116.2676,267,2021.0,4.0,16.0,8550.0625,0,0.1533
redding,12788,2014.0,subaru,forester,excellent,Unknown,gas,130770.0,clean,automatic,4wd,Unknown,wagon,black,ca,38.608824,-121.400837,4399,2021.0,4.0,7.0,18681.428571428572,0,0.0224
south florida,17900,2008.0,toyota,tundra,Unknown,8 cylinders,gas,96000.0,clean,automatic,rwd,full-size,pickup,silver,fl,,,3149,2021.0,4.0,13.0,7384.615384615385,0,0.09435
san diego,24590,2017.0,toyota,Other,good,Unknown,other,6008.0,clean,other,fwd,Unknown,hatchback,Unknown,ca,32.57,-117.11,4241,2021.0,5.0,4.0,1502.0,0,0.09435
stockton,17981,2017.0,toyota,corolla,Unknown,4 cylinders,gas,27178.0,clean,automatic,fwd,Unknown,sedan,silver,ca,37.500955,-121.975987,4120,2021.0,4.0,4.0,6794.5,0,0.09435
Other,42995,2015.0,ford,Other,Unknown,8 cylinders,other,70348.0,clean,automatic,4wd,Unknown,pickup,white,az,33.396353,-111.954863,3075,2021.0,5.0,6.0,11724.666666666666,0,0.1533
los angeles,27777,2014.0,toyota,Other,like new,6 cylinders,gas,99000.0,clean,automatic,Unknown,Unknown,truck,grey,ca,33.9731,-118.2479,1069,2021.0,5.0,7.0,14142.857142857143,0,0.09435
colorado springs,33590,2016.0,toyota,Other,good,Unknown,other,43394.0,clean,other,Unknown,Unknown,SUV,Unknown,co,38.82108,-104.82311,4183,2021.0,4.0,5.0,8678.8,0,0.09435
south florida,39900,2007.0,Unknown,Other,excellent,Unknown,diesel,44000.0,clean,automatic,Unknown,full-size,truck,white,fl,26.7492,-80.0725,5474,2021.0,5.0,14.0,3142.8571428571427,0,0.04385
anchorage / mat-su,11999,2010.0,honda,accord,Unknown,4 cylinders,gas,81914.0,clean,automatic,fwd,Unknown,sedan,silver,ak,61.1194,-149.8974,1577,2021.0,5.0,11.0,7446.727272727273,0,0.0545
bakersfield,23990,2014.0,audi,Other,good,6 cylinders,gas,84674.0,clean,automatic,Unknown,Unknown,SUV,silver,ca,35.38,-119.02,4305,2021.0,4.0,7.0,12096.285714285714,0,0.01865
ventura county,13517,2016.0,honda,Other,excellent,4 cylinders,gas,64562.0,Unknown,automatic,Unknown,Unknown,sedan,Unknown,ca,34.213401,-119.178039,5410,2021.0,4.0,5.0,12912.4,0,0.0545
jacksonville,2900,1989.0,ford,f-150,fair,Unknown,gas,100640.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,30.084,-81.8645,416,2021.0,5.0,32.0,3145.0,0,0.1533
inland empire,30995,2012.0,ford,Other,Unknown,8 cylinders,diesel,101116.0,clean,automatic,rwd,Unknown,pickup,white,ca,34.04118,-117.949911,1961,2021.0,5.0,9.0,11235.111111111111,0,0.1533
Other,4895,2013.0,nissan,Other,good,other,electric,68200.0,clean,other,fwd,compact,hatchback,black,co,40.0375,-105.2771,363,2021.0,4.0,8.0,8525.0,0,0.04915
los angeles,28590,2014.0,Unknown,Other,good,6 cylinders,gas,51683.0,clean,other,Unknown,Unknown,sedan,white,ca,34.00921,-118.10252,3960,2021.0,5.0,7.0,7383.285714285715,0,0.04385
tampa bay area,28990,2016.0,toyota,Other,good,6 cylinders,gas,65448.0,clean,other,Unknown,Unknown,other,Unknown,fl,28.44,-82.56,4290,2021.0,4.0,5.0,13089.6,0,0.09435
western slope,34995,2016.0,ford,Other,Unknown,6 cylinders,Unknown,74988.0,clean,automatic,4wd,Unknown,pickup,black,co,39.081944,-108.588542,2108,2021.0,4.0,5.0,14997.6,0,0.1533
anchorage / mat-su,9999,2012.0,chevrolet,Other,excellent,4 cylinders,gas,54693.0,clean,automatic,fwd,mid-size,sedan,red,ak,61.166353,-149.847206,1258,2021.0,4.0,9.0,6077.0,0,0.11195
fresno / madera,29999,2014.0,chevrolet,silverado 1500,Unknown,8 cylinders,gas,117392.0,clean,automatic,rwd,Unknown,truck,black,ca,36.774617,-119.791164,3880,2021.0,4.0,7.0,16770.285714285714,0,0.11195
san diego,21996,2015.0,mercedes-benz,Other,Unknown,4 cylinders,gas,72614.0,clean,automatic,4wd,sub-compact,sedan,black,ca,32.82387,-117.1552,4326,2021.0,5.0,6.0,12102.333333333334,0,0.03715
orange county,8995,2003.0,gmc,Other,Unknown,8 cylinders,gas,234958.0,clean,automatic,Unknown,Unknown,pickup,white,ca,33.7086,-117.8701,1296,2021.0,5.0,18.0,13053.222222222223,1,0.0319
orlando,16391,2016.0,subaru,forester,Unknown,4 cylinders,gas,80951.0,clean,automatic,4wd,mid-size,wagon,grey,fl,28.610096,-81.298342,10773,2021.0,4.0,5.0,16190.2,0,0.0224
SF bay area,15900,2013.0,ford,Other,Unknown,Unknown,gas,155000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,37.3764,-122.0238,155,2021.0,5.0,8.0,19375.0,1,0.1533
Other,8000,2011.0,jeep,Other,good,8 cylinders,gas,262542.0,clean,automatic,4wd,Unknown,SUV,Unknown,al,33.230905,-87.644291,60,2021.0,4.0,10.0,26254.2,1,0.03625
Other,50995,2015.0,ram,Other,Unknown,6 cylinders,diesel,100283.0,clean,automatic,4wd,Unknown,pickup,white,az,33.396353,-111.954863,3178,2021.0,4.0,6.0,16713.833333333332,0,0.0382
hartford,16950,2016.0,gmc,Other,excellent,6 cylinders,gas,91862.0,clean,automatic,Unknown,Unknown,other,blue,ct,,,2451,2021.0,4.0,5.0,18372.4,0,0.0319
san diego,12977,2006.0,toyota,tacoma,excellent,6 cylinders,gas,174000.0,clean,automatic,rwd,Unknown,pickup,silver,ca,32.643123,-117.094205,1082,2021.0,5.0,15.0,11600.0,1,0.09435
hartford,6995,2011.0,Unknown,Other,Unknown,Unknown,gas,129321.0,clean,automatic,Unknown,compact,other,red,ct,41.658369,-72.866606,3996,2021.0,4.0,10.0,12932.1,0,0.04385
tampa bay area,48999,2019.0,tesla,Other,excellent,Unknown,gas,26046.0,clean,other,Unknown,Unknown,sedan,white,fl,28.466088,-81.396429,3574,2021.0,5.0,2.0,13023.0,0,0.00265
prescott,12000,2011.0,ford,f-150,Unknown,Unknown,gas,147700.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,az,35.387623,-111.384791,251,2021.0,4.0,10.0,14770.0,0,0.1533
atlanta,15000,2014.0,ford,f-150,good,8 cylinders,gas,184500.0,clean,automatic,rwd,full-size,pickup,white,ga,33.818165,-84.244095,1326,2021.0,4.0,7.0,26357.14285714286,1,0.1533
san diego,21590,2017.0,mini,Other,good,Unknown,gas,16200.0,clean,other,fwd,Unknown,hatchback,white,ca,32.57,-117.11,4189,2021.0,4.0,4.0,4050.0,0,0.0072
ocala,19590,2017.0,acura,Other,good,Unknown,diesel,29014.0,clean,other,fwd,Unknown,sedan,black,fl,29.18,-82.13,3905,2021.0,4.0,4.0,7253.5,0,0.01315
phoenix,10500,1996.0,chevrolet,silverado,new,8 cylinders,gas,100000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,az,33.373551,-112.112732,433,2021.0,5.0,25.0,4000.0,0,0.11195
ft myers / SW florida,32995,2018.0,toyota,tacoma,Unknown,6 cylinders,gas,37867.0,clean,automatic,rwd,Unknown,truck,Unknown,fl,28.763821,-81.282651,4040,2021.0,4.0,3.0,12622.333333333334,0,0.09435
Other,5000,1999.0,toyota,tacoma,Unknown,Unknown,gas,205000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ar,35.994258,-90.537815,74,2021.0,5.0,22.0,9318.181818181818,1,0.09435
anchorage / mat-su,34995,2017.0,toyota,Other,excellent,6 cylinders,gas,72239.0,clean,automatic,4wd,Unknown,pickup,red,ak,61.21778,-149.869845,1159,2021.0,4.0,4.0,18059.75,0,0.09435
ocala,43590,2017.0,lincoln,Other,good,6 cylinders,gas,28475.0,clean,automatic,4wd,Unknown,other,black,fl,29.18,-82.13,4092,2021.0,4.0,4.0,7118.75,0,0.00915
Other,21401,2018.0,chevrolet,Other,Unknown,4 cylinders,gas,36807.0,clean,automatic,fwd,Unknown,SUV,Unknown,ar,36.059843,-91.909949,3095,2021.0,4.0,3.0,12269.0,0,0.11195
hartford,19995,2008.0,ford,f-350,Unknown,Unknown,diesel,190218.0,clean,automatic,4wd,Unknown,pickup,silver,ct,40.894535,-74.152367,2399,2021.0,4.0,13.0,14632.153846153846,1,0.1533
south florida,6400,2009.0,toyota,corolla,excellent,4 cylinders,gas,110000.0,clean,automatic,fwd,full-size,sedan,grey,fl,25.703153,-80.467272,65,2021.0,5.0,12.0,9166.666666666666,0,0.09435
palm springs,3500,2007.0,ford,Other,excellent,6 cylinders,gas,132000.0,clean,automatic,Unknown,Unknown,sedan,Unknown,ca,33.745144,-116.351803,4576,2021.0,4.0,14.0,9428.57142857143,0,0.1533
los angeles,11340,2004.0,toyota,tacoma,Unknown,Unknown,gas,107524.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,33.974,-118.248,243,2021.0,5.0,17.0,6324.941176470588,0,0.09435
"washington, DC",6500,2012.0,toyota,Other,good,4 cylinders,gas,255000.0,clean,automatic,fwd,mid-size,Unknown,black,dc,38.9318,-77.3527,279,2021.0,5.0,9.0,28333.333333333332,1,0.09435
chico,4100,1999.0,ford,f-350,fair,10 cylinders,gas,170000.0,clean,automatic,rwd,full-size,truck,white,ca,39.7285,-121.8379,469,2021.0,5.0,22.0,7727.272727272727,1,0.1533
colorado springs,38590,2017.0,infiniti,Other,Unknown,8 cylinders,gas,59835.0,clean,automatic,4wd,full-size,SUV,black,co,39.578815,-104.862418,10463,2021.0,4.0,4.0,14958.75,0,0.01375
fresno / madera,14900,2015.0,chevrolet,Other,Unknown,Unknown,gas,,clean,manual,Unknown,compact,coupe,red,ca,36.605403,-119.556195,1888,2021.0,4.0,6.0,,0,0.11195
ocala,55258,2020.0,ford,Other,Unknown,Unknown,gas,4011.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,29.802864,-82.530727,2125,2021.0,5.0,1.0,4011.0,0,0.1533
sacramento,6995,2002.0,ford,explorer,Unknown,6 cylinders,gas,118341.0,clean,automatic,4wd,Unknown,SUV,Unknown,ca,38.743329,-121.290192,2860,2021.0,5.0,19.0,6228.473684210527,0,0.1533
SF bay area,18696,2016.0,acura,Other,Unknown,4 cylinders,gas,54841.0,clean,automatic,fwd,compact,sedan,white,ca,37.348639,-121.984373,8257,2021.0,5.0,5.0,10968.2,0,0.01315
Other,6495,2011.0,subaru,Other,excellent,4 cylinders,gas,176000.0,clean,automatic,fwd,mid-size,wagon,red,ct,41.7312,-71.5468,1548,2021.0,4.0,10.0,17600.0,1,0.0224
modesto,4599,2001.0,pontiac,Other,Unknown,Unknown,gas,130658.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,37.7741,-120.8377,2709,2021.0,4.0,20.0,6532.9,0,0.00365
los angeles,23981,2005.0,porsche,Other,Unknown,Unknown,gas,45702.0,clean,manual,Unknown,Unknown,convertible,silver,ca,33.86144,-118.39176,4402,2021.0,5.0,16.0,2856.375,0,0.00405
jacksonville,16490,2018.0,ford,escape,Unknown,4 cylinders,gas,36775.0,clean,automatic,fwd,mid-size,SUV,silver,fl,30.174552,-81.474019,339,2021.0,4.0,3.0,12258.333333333334,0,0.1533
sacramento,2400,2000.0,honda,Other,good,4 cylinders,gas,203000.0,clean,manual,fwd,compact,coupe,black,ca,38.8136,-121.2677,1081,2021.0,5.0,21.0,9666.666666666666,1,0.0545
fayetteville,29995,2014.0,chevrolet,Other,good,6 cylinders,other,18681.0,clean,automatic,Unknown,Unknown,pickup,white,ar,36.093434,-94.153768,3987,2021.0,4.0,7.0,2668.714285714286,0,0.11195
"washington, DC",26498,2018.0,honda,cr-v,Unknown,4 cylinders,gas,35414.0,clean,automatic,4wd,mid-size,SUV,white,dc,39.06441,-77.603965,9119,2021.0,4.0,3.0,11804.666666666666,0,0.0545
tallahassee,54241,2020.0,ford,Other,Unknown,Unknown,gas,11994.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,29.801606,-82.53109,2069,2021.0,4.0,1.0,11994.0,0,0.1533
tucson,35590,2020.0,cadillac,Other,good,Unknown,other,14753.0,clean,other,Unknown,Unknown,sedan,black,az,32.21,-110.96,3933,2021.0,4.0,1.0,14753.0,0,0.01445
sacramento,2800,2005.0,toyota,prius,Unknown,Unknown,hybrid,244215.0,salvage,automatic,Unknown,Unknown,Unknown,Unknown,ca,38.7703,-121.3372,970,2021.0,5.0,16.0,15263.4375,1,0.09435
space coast,3300,2009.0,nissan,sentra,Unknown,Unknown,gas,130000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,28.3134,-80.7319,346,2021.0,4.0,12.0,10833.333333333334,0,0.04915
SF bay area,50995,2017.0,Unknown,Other,good,6 cylinders,gas,18955.0,clean,automatic,rwd,Unknown,sedan,Unknown,ca,37.322629,-121.991342,3228,2021.0,5.0,4.0,4738.75,0,0.04385
jacksonville,30000,2008.0,gmc,sierra,Unknown,Unknown,diesel,200000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,30.2231,-81.7556,759,2021.0,4.0,13.0,15384.615384615385,1,0.0319
anchorage / mat-su,39995,2015.0,ram,2500,Unknown,Unknown,gas,115148.0,clean,automatic,4wd,Unknown,pickup,brown,ak,61.16167,-149.86312,1694,2021.0,4.0,6.0,19191.333333333332,0,0.0382
delaware,6495,2012.0,chevrolet,Other,Unknown,Unknown,gas,126330.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,de,39.6264,-75.8458,287,2021.0,4.0,9.0,14036.666666666666,0,0.11195
sacramento,18990,2014.0,nissan,Other,good,Unknown,other,61089.0,clean,other,Unknown,Unknown,other,Unknown,ca,38.58,-121.49,4209,2021.0,5.0,7.0,8727.0,0,0.04915
Other,30998,2016.0,ford,f-150,Unknown,6 cylinders,gas,77801.0,clean,automatic,4wd,full-size,truck,silver,ga,,,5722,2021.0,4.0,5.0,15560.2,0,0.1533
visalia-tulare,39500,2013.0,ford,Other,excellent,6 cylinders,diesel,99332.0,clean,automatic,rwd,Unknown,truck,white,ca,33.916305,-118.29652,3920,2021.0,5.0,8.0,12416.5,0,0.1533
san luis obispo,11999,2008.0,gmc,sierra,good,8 cylinders,gas,119527.0,clean,automatic,rwd,full-size,truck,white,ca,35.512422,-120.699752,25,2021.0,4.0,13.0,9194.384615384615,0,0.0319
tucson,19992,2015.0,honda,cr-v,Unknown,4 cylinders,gas,74266.0,clean,automatic,fwd,mid-size,SUV,silver,az,32.271329,-110.993712,8407,2021.0,4.0,6.0,12377.666666666666,0,0.0545
san diego,29999,2015.0,chevrolet,tahoe,Unknown,Unknown,gas,100554.0,clean,automatic,4wd,Unknown,SUV,Unknown,ca,33.19495,-117.37837,1567,2021.0,5.0,6.0,16759.0,0,0.11195
modesto,4300,2005.0,nissan,Other,good,8 cylinders,gas,168000.0,clean,automatic,4wd,full-size,SUV,green,ca,37.6236,-120.9966,445,2021.0,4.0,16.0,10500.0,1,0.04915
south florida,5992,2012.0,jeep,Other,excellent,6 cylinders,gas,140823.0,clean,automatic,rwd,Unknown,SUV,silver,fl,26.093111,-80.142651,2004,2021.0,4.0,9.0,15647.0,0,0.03625
fort collins / north CO,4995,2002.0,ford,Other,Unknown,10 cylinders,gas,284000.0,clean,automatic,rwd,Unknown,Unknown,Unknown,co,45.614034,-108.386684,108,2021.0,4.0,19.0,14947.368421052632,1,0.1533
SF bay area,3600,2006.0,mazda,Other,good,Unknown,gas,156000.0,salvage,automatic,Unknown,Unknown,Unknown,Unknown,ca,38.9576,-122.636,608,2021.0,5.0,15.0,10400.0,1,0.0144
colorado springs,39999,2017.0,chevrolet,Other,Unknown,8 cylinders,gas,54836.0,clean,automatic,4wd,Unknown,truck,white,co,39.78485,-105.11517,5858,2021.0,4.0,4.0,13709.0,0,0.11195
monterey bay,47452,2020.0,chevrolet,silverado 1500,Unknown,Unknown,gas,16536.0,clean,automatic,4wd,Unknown,Unknown,black,ca,36.613656,-121.844719,4771,2021.0,4.0,1.0,16536.0,0,0.11195
stockton,5000,2003.0,Unknown,Other,excellent,6 cylinders,gas,167000.0,clean,automatic,rwd,mid-size,sedan,silver,ca,38.0377,-121.3445,472,2021.0,4.0,18.0,9277.777777777777,1,0.04385
sacramento,16990,2016.0,ford,Other,good,Unknown,gas,39852.0,clean,other,fwd,Unknown,wagon,silver,ca,38.58,-121.49,4042,2021.0,5.0,5.0,7970.4,0,0.1533
atlanta,5900,2001.0,chevrolet,Other,Unknown,8 cylinders,gas,237968.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ga,33.8769,-83.8968,304,2021.0,5.0,20.0,11898.4,1,0.11195
prescott,8500,1992.0,toyota,Other,good,4 cylinders,gas,212000.0,clean,manual,rwd,sub-compact,coupe,yellow,az,34.604421,-112.30834,1296,2021.0,4.0,29.0,7310.3448275862065,1,0.09435
inland empire,10500,2010.0,ford,Other,like new,6 cylinders,gas,91000.0,clean,automatic,fwd,full-size,SUV,white,ca,34.039,-117.761,465,2021.0,5.0,11.0,8272.727272727272,0,0.1533
sarasota-bradenton,9680,2008.0,lexus,Other,excellent,Unknown,gas,116474.0,clean,automatic,fwd,Unknown,sedan,Unknown,fl,27.299365,-82.513647,4846,2021.0,4.0,13.0,8959.538461538461,0,0.02515
anchorage / mat-su,39995,2012.0,ford,Other,Unknown,Unknown,gas,50740.0,clean,Unknown,4wd,Unknown,other,red,ak,61.16167,-149.86312,1933,2021.0,4.0,9.0,5637.777777777777,0,0.1533
denver,24337,2019.0,toyota,Other,Unknown,Unknown,gas,33389.0,clean,automatic,fwd,Unknown,sedan,Unknown,co,39.675975,-105.008636,4185,2021.0,5.0,2.0,16694.5,0,0.09435
chico,62550,2016.0,porsche,Unknown,Unknown,8 cylinders,other,21991.0,clean,automatic,fwd,compact,other,Unknown,ca,44.927304,-123.030322,4711,2021.0,4.0,5.0,4398.2,0,0.00405
los angeles,21590,2018.0,chevrolet,Other,good,Unknown,gas,12343.0,clean,other,fwd,Unknown,sedan,black,ca,34.00921,-118.10252,4201,2021.0,5.0,3.0,4114.333333333333,0,0.11195
yuba-sutter,17999,2014.0,lexus,Other,excellent,6 cylinders,gas,120872.0,clean,automatic,rwd,compact,sedan,white,ca,38.608933,-121.430188,16081,2021.0,5.0,7.0,17267.428571428572,0,0.02515
reno / tahoe,5950,2008.0,pontiac,Other,excellent,6 cylinders,gas,127600.0,clean,automatic,fwd,compact,sedan,silver,ca,39.524283,-119.825238,2560,2021.0,4.0,13.0,9815.384615384615,0,0.00365
SF bay area,10000,2009.0,volkswagen,Other,excellent,6 cylinders,gas,132000.0,clean,automatic,4wd,full-size,SUV,black,ca,37.782052,-122.27419,798,2021.0,5.0,12.0,11000.0,0,0.02345
inland empire,15900,2015.0,chrysler,Other,Unknown,6 cylinders,other,106072.0,clean,automatic,Unknown,Unknown,sedan,white,ca,34.0584,-117.6665,1853,2021.0,5.0,6.0,17678.666666666668,0,0.0129
tallahassee,6990,2008.0,ram,1500,good,8 cylinders,gas,233871.0,clean,automatic,4wd,full-size,truck,black,fl,28.30262,-81.37895,31,2021.0,4.0,13.0,17990.076923076922,1,0.0382
south florida,6550,2013.0,ford,Other,like new,4 cylinders,gas,147787.0,clean,automatic,fwd,full-size,SUV,blue,fl,25.8301,-80.2926,124,2021.0,4.0,8.0,18473.375,0,0.1533
Other,16999,2012.0,ford,Other,good,8 cylinders,gas,148000.0,clean,automatic,4wd,full-size,truck,white,co,40.1779,-105.1009,1169,2021.0,4.0,9.0,16444.444444444445,0,0.1533
fort collins / north CO,30990,2019.0,lexus,Other,good,Unknown,gas,11325.0,clean,other,rwd,Unknown,sedan,black,co,40.55,-105.06,4432,2021.0,4.0,2.0,5662.5,0,0.02515
Other,18990,2018.0,hyundai,Other,good,Unknown,gas,12883.0,clean,other,fwd,Unknown,sedan,black,ga,34.92,-85.25,4091,2021.0,4.0,3.0,4294.333333333333,0,0.0267
"washington, DC",32990,2018.0,chevrolet,Other,good,Unknown,other,33209.0,clean,other,Unknown,Unknown,pickup,black,dc,38.87,-77.1,4425,2021.0,5.0,3.0,11069.666666666666,0,0.11195
colorado springs,23000,2012.0,ford,Other,excellent,8 cylinders,gas,101000.0,clean,automatic,4wd,full-size,truck,white,co,38.8377,-104.837,197,2021.0,4.0,9.0,11222.222222222223,0,0.1533
south florida,7990,2016.0,ford,focus,Unknown,Unknown,gas,74861.0,rebuilt,automatic,Unknown,compact,hatchback,white,fl,25.869874,-80.242697,2149,2021.0,5.0,5.0,14972.2,0,0.1533
treasure coast,13900,2012.0,lexus,Other,like new,6 cylinders,gas,91552.0,clean,automatic,fwd,full-size,sedan,black,fl,27.3908,-80.3246,943,2021.0,4.0,9.0,10172.444444444445,0,0.02515
SF bay area,4400,2006.0,subaru,Other,excellent,4 cylinders,gas,190.0,clean,automatic,4wd,Unknown,Unknown,blue,ca,37.863,-122.2749,365,2021.0,5.0,15.0,12.666666666666666,0,0.0224
chico,8999,2013.0,kia,Other,excellent,4 cylinders,gas,78034.0,Unknown,automatic,Unknown,Unknown,wagon,Unknown,ca,38.624043,-121.401842,4602,2021.0,4.0,8.0,9754.25,0,0.0204
colorado springs,46990,2020.0,gmc,Other,good,8 cylinders,gas,31832.0,clean,other,Unknown,Unknown,other,Unknown,co,38.82108,-104.82311,4119,2021.0,4.0,1.0,31832.0,0,0.0319
chico,39777,2018.0,chevrolet,Other,Unknown,Unknown,gas,32602.0,clean,automatic,4wd,Unknown,pickup,white,ca,38.605011,-121.401917,1344,2021.0,5.0,3.0,10867.333333333334,0,0.11195
colorado springs,21930,2018.0,mazda,Other,Unknown,4 cylinders,gas,28062.0,clean,automatic,4wd,mid-size,SUV,custom,co,39.7305,-105.1915,10569,2021.0,4.0,3.0,9354.0,0,0.0144
ventura county,20590,2014.0,bmw,Other,good,Unknown,gas,59476.0,clean,other,rwd,Unknown,coupe,black,ca,33.7865,-84.4454,4062,2021.0,4.0,7.0,8496.57142857143,0,0.0387
phoenix,9950,1998.0,infiniti,Other,excellent,8 cylinders,gas,93000.0,clean,automatic,fwd,full-size,sedan,white,az,33.465,-112.0474,4907,2021.0,5.0,23.0,4043.478260869565,0,0.01375
ft myers / SW florida,10897,2007.0,toyota,tacoma,Unknown,6 cylinders,gas,233108.0,clean,manual,rwd,Unknown,pickup,black,fl,27.479823,-82.571497,4649,2021.0,4.0,14.0,16650.571428571428,1,0.09435
stockton,37999,2014.0,toyota,Other,excellent,8 cylinders,gas,80826.0,clean,automatic,4wd,Unknown,truck,silver,ca,38.640574,-121.270137,1329,2021.0,4.0,7.0,11546.57142857143,0,0.09435
Other,26990,2017.0,infiniti,Other,good,6 cylinders,gas,40529.0,clean,automatic,Unknown,Unknown,SUV,Unknown,fl,29.89,-81.31,3981,2021.0,4.0,4.0,10132.25,0,0.01375
little rock,18910,2014.0,ford,expedition,Unknown,Unknown,gas,131344.0,clean,automatic,4wd,Unknown,Unknown,Unknown,ar,38.4018,-93.785,14291,2021.0,4.0,7.0,18763.428571428572,0,0.1533
chico,16978,2016.0,ford,Other,like new,4 cylinders,gas,79873.0,clean,automatic,fwd,Unknown,SUV,black,ca,39.1237,-121.6611,516,2021.0,4.0,5.0,15974.6,0,0.1533
fort collins / north CO,35990,2020.0,cadillac,Other,good,Unknown,gas,10647.0,clean,other,Unknown,Unknown,hatchback,black,co,40.55,-105.06,3871,2021.0,4.0,1.0,10647.0,0,0.01445
ventura county,43990,2020.0,rover,Other,good,Unknown,gas,7718.0,clean,other,Unknown,Unknown,other,black,ca,33.779214,-84.411811,4566,2021.0,4.0,1.0,7718.0,0,0.00595
atlanta,26990,2016.0,toyota,tacoma,Unknown,6 cylinders,gas,102089.0,clean,automatic,rwd,Unknown,pickup,grey,ga,33.669601,-86.817617,2138,2021.0,5.0,5.0,20417.8,0,0.09435
space coast,2000,2005.0,dodge,Other,Unknown,Unknown,gas,206000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,27.9694,-80.6473,377,2021.0,4.0,16.0,12875.0,1,0.0322
tampa bay area,15995,2019.0,volkswagen,jetta,Unknown,4 cylinders,gas,23050.0,clean,automatic,fwd,compact,sedan,blue,fl,27.838871,-82.714995,8450,2021.0,4.0,2.0,11525.0,0,0.02345
daytona beach,32500,2016.0,jeep,wrangler,excellent,6 cylinders,gas,37100.0,clean,manual,4wd,Unknown,Unknown,grey,fl,28.97366,-81.027426,357,2021.0,4.0,5.0,7420.0,0,0.03625
lakeland,49999,2018.0,bmw,Other,excellent,6 cylinders,gas,27588.0,clean,other,Unknown,Unknown,sedan,white,fl,28.466088,-81.396429,3592,2021.0,4.0,3.0,9196.0,0,0.0387
phoenix,13999,2004.0,toyota,4runner,excellent,6 cylinders,gas,165000.0,clean,automatic,4wd,Unknown,Unknown,Unknown,az,33.457682,-111.739609,683,2021.0,5.0,17.0,9705.882352941177,1,0.09435
fayetteville,54800,2019.0,toyota,Other,good,Unknown,other,38509.0,clean,automatic,4wd,Unknown,SUV,white,ar,36.331878,-94.186024,2079,2021.0,4.0,2.0,19254.5,0,0.09435
south florida,29990,2019.0,ford,Other,good,6 cylinders,other,14077.0,clean,other,Unknown,Unknown,pickup,white,fl,26.74,-80.12,5003,2021.0,5.0,2.0,7038.5,0,0.1533
hawaii,35888,2018.0,mercedes-benz,c-class,Unknown,Unknown,gas,26800.0,clean,automatic,Unknown,compact,sedan,white,hi,21.299668,-157.852935,3169,2021.0,5.0,3.0,8933.333333333334,0,0.03715
ocala,39998,2017.0,mercedes-benz,Other,Unknown,Unknown,gas,81450.0,clean,automatic,Unknown,Unknown,SUV,white,fl,28.01567,-82.45978,2244,2021.0,4.0,4.0,20362.5,0,0.03715
modesto,39995,2015.0,cadillac,Other,like new,8 cylinders,gas,85805.0,clean,automatic,rwd,full-size,SUV,black,ca,37.7741,-120.8377,550,2021.0,4.0,6.0,14300.833333333334,0,0.01445
Other,31500,2019.0,ford,Other,Unknown,Unknown,gas,31724.0,clean,automatic,Unknown,Unknown,van,white,fl,28.329026,-81.404237,3533,2021.0,4.0,2.0,15862.0,0,0.1533
santa barbara,16990,2018.0,toyota,Other,good,Unknown,gas,35973.0,clean,other,fwd,Unknown,hatchback,blue,ca,33.7865,-84.4454,4338,2021.0,4.0,3.0,11991.0,0,0.09435
